#,Well_ID,Well_Name,Latitude_ddeg,Longitude_ddeg,Elevation,Nappe,Influenced
82,03030002,Saint-Marcel-sur-Richelieu,45.872277,-72.912815,28.54,Captive,Non
83,03030003,Saint-Hugues,45.820947,-72.835342,36.0,Captive,Non
84,03030004,Saint-Simon,45.681077,-72.841585,52.6,Semi-captive,Non
85,03030005,Saint-Théodore-d'Acton,45.675472,-72.584927,109.59,Libre,Oui
86,03030006,Saint-Damase,45.516124,-73.021115,16.42,Captive,Non
87,03030007,Saint-Valérien-de-Milton,45.53745,-72.763304,64.47,Libre,Non
88,03030008,Rougemont,45.453513,-73.049924,129.95,Semi-captive,Non
89,03030010,Valcourt,45.48124,-72.314002,213.03,Captive,Non
90,03030011,Brome,45.182282,-72.577841,200.83,Captive,Non
91,03030012,Saint-Guillaume,45.880605,-72.764169,44.51,Libre,ND
92,03030013,Saint-Guillaume,45.880616,-72.764183,44.72,Captive,ND
93,03030014,Cowansville,45.217672,-72.755082,105.04,Libre,ND
94,03030015,Cowansville,45.217658,-72.755083,105.19,Captive,ND
95,03030016,Bromont,45.300822,-72.70099,108.07,Libre,ND
96,03030017,Bromont,45.300822,-72.70099,108.45,Libre,ND
97,03030018,Saint-Hyacinthe,45.581077,-72.935967,34.0,Captive,ND
98,03037031,Saint-Alphonse-de-Granby,45.32911,-72.826667,89.65,Captive,Non
99,03037041,Saint-Paul-d'Abbotsford,45.445178,-72.828773,68.58,Captive,Non
100,03037071,Sainte-Christine,45.615005,-72.413266,169.05,Semi-captive,Non
101,03040001,Saint-Ours,45.878236,-73.129008,19.96,Captive,Non
102,03040002,Calixa-Lavallée,45.74581,-73.28024,19.51,Captive,Non
103,03040005,Saint-Amable,45.638345,-73.314986,42.77,Captive,Non
104,03040006,Saint-Mathias-sur-Richelieu,45.502473,-73.224774,16.42,Captive,Non
105,03040007,Rougemont,45.44201,-73.07421,49.86,Captive,Non
106,03040008,Rougemont,45.44201,-73.07421,49.86,Captive,Non
107,03040009,Saint-Jean-sur-Richelieu,45.368553,-73.333004,36.25,Captive,Non
108,03040010,Saint-Jean-sur-Richelieu,45.243207,-73.25431,33.24,Captive,Non
109,03040011,Saint-Paul-de-l'Île-aux-Noix,45.144448,-73.30597,41.7,Captive,Non
110,03040012,Saint-Ignace-de-Stanbridge,45.177035,-72.929202,83.22,Captive,Non
111,03040013,Frelighsburg,45.065628,-72.872104,106.38,Libre,Non
112,03040014,Potton,45.05788,-72.393345,194.99,Captive,Non
113,03040015,Eastman,45.354527,-72.303051,251.01,Captive,Non
